Default,Age,AmountOfPreviousLoansBeforeLoan,AppliedAmount,Country,DebtToIncome,Education,EmploymentDurationCurrentEmployer,EmploymentStatus,ExistingLiabilities,FreeCash,Gender,HomeOwnershipType,IncomeTotal,LiabilitiesTotal,LoanDuration,MaritalStatus,NewCreditCustomer,NoOfPreviousLoansBeforeLoan,NrOfDependants,OccupationArea,UseOfLoan,WorkExperience
True,53,500.0,2125.0,EE,26.29,4.0,MoreThan5Years,6.0,8,10.92,1.0,1.0,354.0,485.09,60,2.0,False,1.0,0,1.0,2,15To25Years
True,50,1800.0,3000.0,EE,30.58,5.0,MoreThan5Years,5.0,4,78.8,1.0,1.0,900.0,736.45,60,2.0,False,1.0,0,7.0,3,MoreThan25Years
True,44,0.0,10630.0,EE,26.71,4.0,UpTo3Years,5.0,7,349.43,0.0,8.0,1200.0,905.0,60,4.0,True,0.0,1,8.0,3,MoreThan25Years
True,42,0.0,1500.0,ES,7.36,2.0,UpTo5Years,3.0,1,449.47,0.0,2.0,863.0,350.0,60,1.0,True,0.0,0,1.0,2,5To10Years
True,34,0.0,1595.0,ES,36.04,4.0,UpTo1Year,6.0,5,95.81,1.0,3.0,697.0,940.0,48,4.0,True,0.0,2,1.0,7,5To10Years
True,31,0.0,3720.0,ES,47.96,4.0,UpTo5Years,3.0,5,154.81,1.0,4.0,970.0,960.0,60,1.0,True,0.0,0,7.0,7,10To15Years
True,22,0.0,635.0,EE,3.64,2.0,UpTo1Year,3.0,1,467.88,0.0,4.0,745.0,250.0,60,3.0,True,0.0,0,9.0,8,2To5Years
False,47,0.0,1000.0,ES,29.04,3.0,MoreThan5Years,6.0,2,449.05,0.0,1.0,1126.0,560.0,12,2.0,True,0.0,2,1.0,6,5To10Years
True,60,0.0,4000.0,FI,48.51,4.0,MoreThan5Years,3.0,8,336.65,0.0,1.0,2590.0,2068.0,36,1.0,True,0.0,0,11.0,2,MoreThan25Years
False,39,1000.0,5000.0,EE,51.52,4.0,UpTo5Years,3.0,9,14.81,0.0,6.0,1000.0,1293.18,60,4.0,False,1.0,1,8.0,0,15To25Years
False,31,2100.0,2000.0,EE,53.04,4.0,MoreThan5Years,3.0,7,34.11,0.0,3.0,605.0,722.4,60,3.0,False,2.0,0,8.0,7,2To5Years
